idx,caminho atual,distancia_atual,melhor_caminho,melhor_resultado,pior_resultado,melhor_tempo,pior_tempo
0,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,2065.137905435637,1.734375,1.734375
1,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.734375
2,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.765625
3,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
4,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
5,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
6,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
7,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
8,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
9,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
10,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
11,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
12,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
13,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
14,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
15,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
16,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
17,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
18,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
19,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
20,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
21,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
22,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
23,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
24,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.71875,1.78125
25,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.6875,1.78125
26,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.6875,1.78125
27,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.6875,1.78125
28,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.6875,1.78125
29,"['1', '5', '8', '6', '2', '3', '7', '4', '9', '1']",2065.137905435637,"['1', '9', '4', '7', '3', '2', '6', '8', '5', '1']",2065.1379054356366,2065.137905435637,1.6875,1.78125
