idx,caminho atual,distancia atual,melhor caminho,melhor resultado,pior resultado,melhor tempo,pior tempo
0,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '29', '23', '20', '50', '16', '46', '44', '34', '35', '36', '39', '40', '38', '37', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '14', '13', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7663.881437843409,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '29', '23', '20', '50', '16', '46', '44', '34', '35', '36', '39', '40', '38', '37', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '14', '13', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7663.881437843409,7663.881437843409,38.125,38.125
1,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '23', '20', '50', '29', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7544.36590190409,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '23', '20', '50', '29', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7544.36590190409,7663.881437843409,38.125,38.234375
2,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '23', '20', '50', '29', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7544.36590190409,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '23', '20', '50', '29', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7544.36590190409,7663.881437843409,38.125,38.234375
3,"['1', '22', '32', '45', '19', '41', '8', '9', '10', '43', '33', '11', '51', '12', '28', '26', '27', '13', '52', '14', '47', '29', '30', '2', '7', '42', '21', '17', '3', '18', '31', '23', '20', '50', '16', '44', '46', '25', '4', '6', '15', '5', '24', '48', '38', '37', '40', '39', '34', '35', '36', '49', '1']",8085.730606677476,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '23', '20', '50', '29', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7544.36590190409,8085.730606677476,38.125,38.296875
4,"['1', '22', '31', '18', '3', '45', '19', '41', '8', '9', '10', '43', '33', '12', '51', '11', '52', '14', '13', '27', '28', '26', '47', '29', '30', '42', '2', '7', '17', '21', '23', '20', '50', '16', '44', '46', '25', '4', '6', '15', '5', '24', '48', '38', '37', '40', '39', '34', '35', '36', '49', '32', '1']",7993.27698318463,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '23', '20', '50', '29', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7544.36590190409,8085.730606677476,38.125,38.359375
5,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '23', '20', '50', '29', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7544.36590190409,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '23', '20', '50', '29', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7544.36590190409,8085.730606677476,38.09375,38.359375
6,"['1', '22', '31', '18', '3', '17', '7', '2', '42', '21', '23', '20', '50', '30', '29', '16', '44', '34', '35', '36', '39', '40', '38', '37', '46', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7723.696096257918,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '23', '20', '50', '29', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7544.36590190409,8085.730606677476,38.09375,38.375
7,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '23', '20', '50', '29', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7544.36590190409,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '23', '20', '50', '29', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7544.36590190409,8085.730606677476,38.09375,38.375
8,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '29', '23', '20', '50', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7658.958320375774,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '23', '20', '50', '29', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7544.36590190409,8085.730606677476,38.09375,38.375
9,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '23', '20', '50', '29', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7544.36590190409,"['1', '22', '31', '18', '3', '17', '21', '42', '7', '2', '30', '23', '20', '50', '29', '16', '46', '44', '34', '35', '36', '39', '40', '37', '38', '48', '24', '5', '15', '6', '4', '25', '12', '28', '27', '26', '47', '13', '14', '52', '11', '51', '33', '43', '10', '9', '8', '41', '19', '45', '32', '49', '1']",7544.36590190409,8085.730606677476,38.09375,38.515625
