idx,caminho atual,distancia_atual,melhor_caminho,melhor_resultado,pior_resultado,melhor_tempo,pior_tempo
0,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,0.6875,0.6875
1,"['1', '2', '7', '3', '4', '6', '5', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,0.671875,0.6875
2,"['1', '2', '7', '3', '4', '6', '5', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,0.609375,0.6875
3,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,0.609375,0.6875
4,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2321.3938395384894,0.609375,0.6875
5,"['1', '6', '5', '4', '3', '7', '2', '1']",2391.2173296919627,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
6,"['1', '2', '7', '3', '4', '6', '5', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
7,"['1', '2', '7', '3', '4', '6', '5', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
8,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
9,"['1', '2', '7', '3', '4', '6', '5', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
10,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
11,"['1', '2', '7', '3', '4', '6', '5', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
12,"['1', '2', '7', '3', '4', '6', '5', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
13,"['1', '6', '4', '5', '3', '7', '2', '1']",2330.9383559346425,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
14,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
15,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
16,"['1', '7', '2', '3', '5', '6', '4', '1']",2344.6699316740583,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
17,"['1', '2', '7', '3', '4', '6', '5', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
18,"['1', '2', '7', '3', '4', '6', '5', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
19,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
20,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2391.2173296919627,0.609375,0.6875
21,"['1', '4', '5', '6', '3', '2', '7', '1']",2413.0033490040796,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2413.0033490040796,0.609375,0.6875
22,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2413.0033490040796,0.609375,0.6875
23,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2413.0033490040796,0.59375,0.6875
24,"['1', '5', '6', '4', '2', '7', '3', '1']",2379.9802418695044,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2413.0033490040796,0.59375,0.6875
25,"['1', '2', '7', '3', '4', '6', '5', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2413.0033490040796,0.59375,0.6875
26,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2413.0033490040796,0.59375,0.6875
27,"['1', '2', '7', '3', '4', '6', '5', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2413.0033490040796,0.59375,0.6875
28,"['1', '2', '7', '3', '4', '6', '5', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2413.0033490040796,0.59375,0.6875
29,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,"['1', '5', '6', '4', '3', '7', '2', '1']",2321.3938395384894,2413.0033490040796,0.59375,0.6875
