idx,caminho atual,distancia_atual,melhor_caminho,melhor_resultado,pior_resultado,melhor_tempo,pior_tempo
0,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
1,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
2,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
3,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
4,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
5,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
6,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
7,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
8,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
9,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
10,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
11,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
12,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
13,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
14,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
15,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
16,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
17,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
18,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
19,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
20,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
21,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
22,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
23,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
24,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
25,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
26,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
27,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
28,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
29,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,"['2', '7', '3', '4', '6', '5']",2321.3938395384894,2321.3938395384894,0.0,0.0
